estacion;latitud;altitud;a�o;mes;dia;precipitacion
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;28;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;29;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;30;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;1;31;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;1;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;2;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;3;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;4;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;5;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;6;0.6
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;7;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;8;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;9;3.4
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;10;5.8
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;11;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;12;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;13;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;14;3.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;15;3.8
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;16;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;17;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;18;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;19;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;20;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;21;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;22;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;23;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;24;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;25;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;27;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;28;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;29;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;30;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;1;31;0.4
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;1;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;2;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;3;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;4;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;5;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;6;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;7;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;8;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;9;6.8
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;10;2.3
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;11;3.4
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;12;0.1
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;13;1.7
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;14;1.8
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;15;23.5
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;16;2.7
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;17;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;18;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;19;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;20;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;21;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;22;1.3
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;23;1.8
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;24;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;25;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;27;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;2;28;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;1;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;2;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;3;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;4;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;5;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;6;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;7;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;8;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;9;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;10;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;11;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;12;4.2
  Osorno Ad.;40&deg 36' 18'' S;61;2016;2;13;2.9
